id,created_at,full_text,media,screen_name,name,profile_image_url,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked
"1745387163150324108","Thu Jan 11 10:08:22 +0000 2024","みぞれちゃん/裏垢女子/@Mizore_0524\n【バック主観&amp;ハメ潮】\n\nバックで軽率にいくので「ごめんなさい」の絶叫、カウントで焦らしたら意味不明なことばで絶叫ww   ⚠️音量注意です⚠️\n\nハメ潮の続き→みぞれ垢\n\nバック後に気を失うみぞれ氏の続き↓\n(2時間08分）\nhttps://t.co/s5fNLiZkx7 https://t.co/6xcZ93H9Ad","[{""type"":""video"",""url"":""https://t.co/6xcZ93H9Ad"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1745387005834625024/img/PRaJIhq12xyn-s84.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1745387005834625024/vid/avc1/1280x720/Rr_xX1I3eTFHe01t.mp4?tag=14""}]","yumagram","Yuma","https://pbs.twimg.com/profile_images/1658755640616165376/ALjTH3PM_normal.jpg","null","null","null",3385,425,829,2,1,336895,false,false,true
"1725301498668785918","Thu Nov 16 23:55:06 +0000 2023","母狗的屁股够大吗？有没有想来怼的？ https://t.co/IQ7MQOFnlb","[{""type"":""video"",""url"":""https://t.co/IQ7MQOFnlb"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1725301441114656768/pu/img/APnklN4SVu6A0W-7.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1725301441114656768/pu/vid/avc1/720x1272/0OYqQCE18nu3v-td.mp4?tag=12""}]","mugouxiaoxiao","母狗晓晓","https://pbs.twimg.com/profile_images/1417045233800413187/sSAjtir8_normal.jpg","null","null","null",222,12,35,0,14,138944,false,false,true
"1703745746485534895","Mon Sep 18 12:20:14 +0000 2023","🥚 https://t.co/1JhVp4pvRT","[{""type"":""video"",""url"":""https://t.co/1JhVp4pvRT"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1703745626704687104/img/PpGXPFES7vL6bCc6.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1703745626704687104/vid/avc1/720x960/YpbgeIG9AMJM7-kv.mp4?tag=14""}]","sin230303","sin","https://pbs.twimg.com/profile_images/1172105102389211136/GdwygSUR_normal.jpg","null","null","null",3422,516,322,4,49,235114,true,false,true
"1742511182760820920","Wed Jan 03 11:40:14 +0000 2024","记录娇妻2023年最后一炮\n\n没想到是和我小学同学的，第二天就大姨妈了…也算是为2023淫妻之路画下句号～\n\n很久没体验了，我在家带娃媳妇出去单约。我在家等着视频，看着她怎么被我小学同学操，看着她直播舔别人的鸡巴…\n\n和3p不一样的刺激～\n@RLWJ_kuking @JWCJ_kuxs @BQYJ_kuxs @JLSQ_kuxs https://t.co/00YqiRXPGP","[{""type"":""photo"",""url"":""https://t.co/00YqiRXPGP"",""thumbnail"":""https://pbs.twimg.com/media/GC6kX0lbgAALgFp?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC6kX0lbgAALgFp?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/00YqiRXPGP"",""thumbnail"":""https://pbs.twimg.com/media/GC6kX0maoAAue7Y?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC6kX0maoAAue7Y?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/00YqiRXPGP"",""thumbnail"":""https://pbs.twimg.com/media/GC6kX0iaQAA3MkK?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC6kX0iaQAA3MkK?format=jpg&name=orig""},{""type"":""video"",""url"":""https://t.co/00YqiRXPGP"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/1742510835019476992/img/3oFpK2KYzvvNSmwu.jpg?name=thumb"",""original"":""https://video.twimg.com/amplify_video/1742510835019476992/vid/avc1/720x1272/V-MvBxwUDEQ5q_Om.mp4?tag=14""}]","fantasia8023","宇宙的琴弦","https://pbs.twimg.com/profile_images/1735005029701144576/YBvSHPbh_normal.jpg","null","null","null",3270,360,328,0,37,961044,false,false,true
"1742401873636987093","Wed Jan 03 04:25:53 +0000 2024","新年人妻第一鞭，\n#夫妻情趣\n@LOSTPARADI4700\n红红火火。🌶🌶🌶🌶 https://t.co/7zxxMgVCrZ","[{""type"":""photo"",""url"":""https://t.co/7zxxMgVCrZ"",""thumbnail"":""https://pbs.twimg.com/media/GC5BQSmawAAGqqW?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC5BQSmawAAGqqW?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/7zxxMgVCrZ"",""thumbnail"":""https://pbs.twimg.com/media/GC5BQppbkAAtO_1?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC5BQppbkAAtO_1?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/7zxxMgVCrZ"",""thumbnail"":""https://pbs.twimg.com/media/GC5BQ8ZawAATUPR?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC5BQ8ZawAATUPR?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/7zxxMgVCrZ"",""thumbnail"":""https://pbs.twimg.com/media/GC5BRQPaEAASb5i?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/GC5BRQPaEAASb5i?format=jpg&name=orig""}]","YQYQ4433","渝妻欲妻玉妻","https://pbs.twimg.com/profile_images/1744574334071668736/D8XYZd-s_normal.jpg","null","null","null",76,2,2,0,4,17158,false,false,true
"1728430040868860029","Sat Nov 25 15:06:49 +0000 2023","被插的好深，主人的鸡巴真的又粗又大，感觉逼都被操松了～ https://t.co/L2BeLTEDEN","[{""type"":""video"",""url"":""https://t.co/L2BeLTEDEN"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1728429766372626432/pu/img/wWO5oRdNeCP40nZ9.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1728429766372626432/pu/vid/avc1/1280x666/Aq0orbtjwE5SNKzH.mp4?tag=12""}]","Asd14684","张嘻嘻❤️‍🩹","https://pbs.twimg.com/profile_images/1712836173847216128/J3Va9AUN_normal.jpg","null","null","null",2159,280,341,1,25,286969,false,false,true
"1575101197404381185","Wed Sep 28 12:32:44 +0000 2022","10.1不能出去，提前happy起来，朋友允许，可以来个服务型单男 https://t.co/Ri9eVTLY89","[{""type"":""photo"",""url"":""https://t.co/Ri9eVTLY89"",""thumbnail"":""https://pbs.twimg.com/media/FdviLxvUcAA7917?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/FdviLxvUcAA7917?format=jpg&name=orig""}]","Qidaixiangshi","北京夫妻那凉","https://pbs.twimg.com/profile_images/1304472709519216640/Z43No-Sr_normal.jpg","null","null","null",81,1,3,0,33,"null",true,false,true
"1732202151596998998","Wed Dec 06 00:55:50 +0000 2023","来听听高级叫床🉑️ https://t.co/ejEE662vq3","[{""type"":""video"",""url"":""https://t.co/ejEE662vq3"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1732202087864487936/pu/img/pn-VFD4c8JXH_W5f.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1732202087864487936/pu/vid/avc1/720x1280/UxEsdps5HAyMs1_U.mp4?tag=12""}]","SchneblyM59623","媳妇说不能发她的露脸照片","https://pbs.twimg.com/profile_images/1712254749062606848/HI2dBXU0_normal.jpg","null","null","null",1183,98,126,0,9,98048,false,false,true
"1648270251937923072","Tue Apr 18 10:20:26 +0000 2023","调教 https://t.co/HN9f0w7E6p","[{""type"":""photo"",""url"":""https://t.co/HN9f0w7E6p"",""thumbnail"":""https://pbs.twimg.com/media/Ft_U4QxaAAAZ7Sm?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/Ft_U4QxaAAAZ7Sm?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/HN9f0w7E6p"",""thumbnail"":""https://pbs.twimg.com/media/Ft_U4Q1aAAMAtbY?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/Ft_U4Q1aAAMAtbY?format=jpg&name=orig""},{""type"":""video"",""url"":""https://t.co/HN9f0w7E6p"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1648270051706048513/pu/img/ua8j1Qq3fQRxTBIZ.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1648270051706048513/pu/vid/720x1280/JBt4jp4LkOQqWNLc.mp4?tag=12""},{""type"":""video"",""url"":""https://t.co/HN9f0w7E6p"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1648270051706019840/pu/img/rLSea2-OGEbjTZpF.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1648270051706019840/pu/vid/720x1280/2_Se5oCWpPeSuwFl.mp4?tag=12""}]","tyw72540304","分享淫妻","https://pbs.twimg.com/profile_images/1651406760799010816/WJMj2N89_normal.jpg","null","null","null",29,5,3,0,0,3554,false,false,true
"1720872152319267013","Sat Nov 04 18:34:28 +0000 2023","再来一段贱母狗发骚自慰的样子 #自慰 #母狗 #妓女 #婊子 https://t.co/2sZXcSFtKl","[{""type"":""video"",""url"":""https://t.co/2sZXcSFtKl"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1720872063379103744/pu/img/1l6ROjhCkHr7DH7L.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1720872063379103744/pu/vid/avc1/720x1280/pDD7nRrUyv5vncf8.mp4?tag=12""}]","SimonandNana","Simon","https://pbs.twimg.com/profile_images/1655921389805912064/PbDZP8NT_normal.jpg","null","null","null",816,103,83,0,33,226397,false,false,true
